Team,Number of Games the country participated in (summer),Gold (summer),Silver (summer),Bronze (summer),Total (summer),Number of Games the country participated in (winter),Gold (winter),Silver (winter),Bronze (winter),Total (winter),Number of Games the country participated in.1,Gold.1,Silver.1,Bronze.1,Total.1,Gold (difference)
United States,27.0,1022,795,705,2522,23,105,110,90,305,50,1127,905,795,2827,917
Soviet Union,9.0,395,319,296,1010,9,78,57,59,194,18,473,376,355,1204,317
Great Britain,28.0,263,295,291,849,23,11,4,16,31,51,274,299,307,880,252
Germany,16.0,191,194,230,615,12,92,88,60,240,28,283,282,290,855,99
France,28.0,212,241,263,716,23,36,35,53,124,51,248,276,316,840,176
Italy,27.0,206,178,193,577,23,40,36,48,124,50,246,214,241,701,166
Sweden,27.0,145,170,179,494,23,57,46,55,158,50,202,216,234,652,88
China,10.0,224,167,155,546,11,13,28,21,62,21,237,195,176,608,211
Russia,6.0,149,124,153,426,6,47,38,35,120,12,196,162,188,546,102
Norway,25.0,56,49,47,152,23,132,125,111,368,48,188,174,158,520,76
East Germany,5.0,153,129,127,409,6,39,36,35,110,11,192,165,162,519,114
Australia,26.0,147,163,187,497,19,5,5,5,15,45,152,168,192,512,142
Canada,26.0,64,102,136,302,23,73,64,62,199,49,137,166,198,501,9
Hungary,26.0,175,147,169,491,23,1,2,4,7,49,176,149,173,498,174
Japan,22.0,142,135,162,439,21,14,22,22,58,43,156,157,184,497,128
Finland,25.0,101,85,117,303,23,43,63,61,167,48,144,148,178,470,58
Netherlands,26.0,85,92,108,285,21,45,44,41,130,47,130,136,149,415,40
Switzerland,28.0,50,75,67,192,23,55,46,52,153,51,105,121,119,345,5
South Korea,17.0,90,87,90,267,18,31,25,14,70,35,121,112,104,337,59
Austria,27.0,18,33,36,87,23,64,81,87,232,50,82,114,123,319,46
Romania,21.0,89,95,122,306,21,0,0,1,1,42,89,95,123,307,89
Poland,21.0,68,83,133,284,23,7,7,8,22,44,75,90,141,306,61
West Germany,5.0,56,67,81,204,6,11,15,13,39,11,67,82,94,243,45
Cuba,20.0,78,68,79,225,0,0,0,0,0,20,78,68,79,225,78
Bulgaria,20.0,51,87,80,218,20,1,2,3,6,40,52,89,83,224,50
Denmark,27.0,45,74,75,194,14,0,1,0,1,41,45,75,75,195,45
Czechoslovakia,16.0,49,49,45,143,16,2,8,15,25,32,51,57,60,168,47
Belgium,26.0,40,53,55,148,21,1,2,3,6,47,41,55,58,154,39
Spain,23.0,45,64,41,150,20,1,0,3,4,43,46,64,44,154,44
United Team of Germany,3.0,28,54,36,118,3,8,6,5,19,6,36,60,41,137,20
Unified Team,1.0,45,38,29,112,1,9,6,8,23,2,54,44,37,135,36
Ukraine,6.0,35,30,56,121,7,3,1,4,8,13,38,31,60,129,32
Brazil,22.0,30,36,62,128,8,0,0,0,0,30,30,36,62,128,30
New Zealand,23.0,46,27,44,117,16,0,1,2,3,39,46,28,46,120,46
Greece,28.0,33,43,40,116,19,0,0,0,0,47,33,43,40,116,33
Kenya,14.0,31,38,33,102,4,0,0,0,0,18,31,38,33,102,31
Belarus,6.0,12,27,39,78,7,8,5,5,18,13,20,32,44,96,4
Yugoslavia,18.0,28,31,31,90,16,0,3,1,4,34,28,34,32,94,28
Turkey,22.0,39,24,28,91,17,0,0,0,0,39,39,24,28,91,39
Czech Republic,6.0,15,17,24,56,7,9,11,11,31,13,24,28,35,87,6
South Africa,19.0,26,31,29,86,7,0,0,0,0,26,26,31,29,86,26
Jamaica,17.0,22,35,20,77,8,0,0,0,0,25,22,35,20,77,22
Argentina,24.0,21,25,28,74,19,0,0,0,0,43,21,25,28,74,21
Kazakhstan,6.0,15,20,27,62,7,1,3,4,8,13,16,23,31,70,14
Iran,16.0,19,22,28,69,11,0,0,0,0,27,19,22,28,69,19
Mexico,23.0,13,24,32,69,9,0,0,0,0,32,13,24,32,69,13
North Korea,10.0,16,16,22,54,9,0,1,1,2,19,16,17,23,56,16
Ethiopia,13.0,22,11,20,53,2,0,0,0,0,15,22,11,20,53,22
Croatia,7.0,11,10,12,33,8,4,6,1,11,15,15,16,13,44,7
Azerbaijan,6.0,7,11,25,43,6,0,0,0,0,12,7,11,25,43,7
Estonia,12.0,9,9,16,34,10,4,2,1,7,22,13,11,17,41,5
Slovenia,7.0,5,8,10,23,8,2,5,10,17,15,7,13,20,40,3
Slovakia,6.0,9,12,7,28,7,3,4,1,8,13,12,16,8,36,6
Georgia,6.0,8,8,17,33,7,0,0,0,0,13,8,8,17,33,8
Thailand,16.0,9,8,16,33,4,0,0,0,0,20,9,8,16,33,9
Indonesia,15.0,7,13,12,32,0,0,0,0,0,15,7,13,12,32,7
Egypt,22.0,7,10,15,32,1,0,0,0,0,23,7,10,15,32,7
Uzbekistan,6.0,8,6,17,31,7,1,0,0,1,13,9,6,17,32,7
Ireland,21.0,9,10,12,31,7,0,0,0,0,28,9,10,12,31,9
India,24.0,9,7,12,28,10,0,0,0,0,34,9,7,12,28,9
Colombia,19.0,5,9,14,28,2,0,0,0,0,21,5,9,14,28,5
Latvia,11.0,3,11,5,19,11,0,4,4,8,22,3,15,9,27,3
Mongolia,13.0,2,10,14,26,14,0,0,0,0,27,2,10,14,26,2
Nigeria,16.0,3,10,12,25,1,0,0,0,0,17,3,10,12,25,3
Lithuania,9.0,6,7,12,25,9,0,0,0,0,18,6,7,12,25,6
Chinese Taipei,14.0,5,7,12,24,12,0,0,0,0,26,5,7,12,24,5
Portugal,24.0,4,8,12,24,8,0,0,0,0,32,4,8,12,24,4
Morocco,14.0,6,5,12,23,7,0,0,0,0,21,6,5,12,23,6
Trinidad and Tobago,17.0,2,6,11,19,3,0,0,0,0,20,2,6,11,19,2
Algeria,13.0,5,4,8,17,3,0,0,0,0,16,5,4,8,17,5
Olympic Athletes from Russia,0.0,0,0,0,0,1,2,6,9,17,1,2,6,9,17,2
Mixed team,3.0,8,5,4,17,0,0,0,0,0,3,8,5,4,17,8
Venezuela,18.0,2,3,10,15,4,0,0,0,0,22,2,3,10,15,2
Serbia,4.0,3,6,6,15,3,0,0,0,0,7,3,6,6,15,3
Bahamas,16.0,6,2,6,14,0,0,0,0,0,16,6,2,6,14,6
Armenia,6.0,2,6,6,14,7,0,0,0,0,13,2,6,6,14,2
Tunisia,14.0,4,2,7,13,0,0,0,0,0,14,4,2,7,13,4
Chile,23.0,2,7,4,13,17,0,0,0,0,40,2,7,4,13,2
Australasia,2.0,3,4,5,12,0,0,0,0,0,2,3,4,5,12,3
Malaysia,13.0,0,7,4,11,1,0,0,0,0,14,0,7,4,11,0
Philippines,21.0,0,3,7,10,5,0,0,0,0,26,0,3,7,10,0
Uruguay,21.0,2,2,6,10,1,0,0,0,0,22,2,2,6,10,2
Pakistan,17.0,3,3,4,10,3,0,0,0,0,20,3,3,4,10,3
